U	T	YYYY-MM-DD
https://askubuntu.com/questions/76808/how-do-i-use-variables-in-a-sed-command	bash - How do I use variables in a sed command? - Ask Ubuntu	2014-08-07
https://atmarkit.itmedia.co.jp/flinux/rensai/linuxtips/a072csplit.html	テキストファイルを任意の文字列で分割するには － @IT	2007-12-26
https://blog.enjoitech.com/article/71	Linux である文字を含む行を削除したい (sed,grepなど) - Enjoi Blog	2018-05-02
https://blog.freedom-man.com/zsh-completions	zshの補完関数を作ってみた - freedom-man.com	2017-04-22
https://blog.ychof.com/archives/50	.vimrcをファイル分割して可読性を上げる | ychof tech blog	2020-04-30
https://godanism.hatenablog.com/entry/20170824/1503551476	ps ax|grep コマンドで自分自身を除く - 明滅するプログラマの思索	2017-08-24
https://it-ojisan.tokyo/sed-d	sedで指定した行の削除をする方法(サンプルコードあり) | ITを使っていこう	2018-09-11
https://macos-defaults.com	macOS defaults list	-
https://memo.yammer.jp/posts/macos-defaults	macOSでの各種設定を自動化するdefaultsコマンド - memo.yammer.jp	2020-04-13
https://mogulla3.tech/articles/2022-06-04-vim-encoding-settings-to-open-shift-jis-file	VimでShift_JISなファイルを文字化けせずに開くために文字エンコーディングの設定を見直した	2022-06-04
https://nissy-lab.com/blogs/macos-launchpad-sort	macOSのLaunchpadでアイコンをソートしたい | にっしーラボ	2020-03-05
https://note.nkmk.me/mac-pandoc-markdown-pdf-japanese	MacでPandocを使ってMarkdownをpdfに変換 | note.nkmk.me	2016-12-14
https://oldbigbuddha.dev/posts/setup-latex-on-mac	LaTeX を Mac(Catalina) にインストールする | Simple is Best	2020-05-11
https://original-game.com/how-to-manage-zshrc-separately	.zshrcを分割して管理してみよう!	2024-05-02
https://qiita.com/d6rkaiz/items/e619fa55b3de81cb4aab	el capitanにしてからしたことの備忘録 #elcapitan	2017-12-31
https://qiita.com/kez/items/e349a8d025acbcdc3a86	初心者向け,PCの環境をdotfilesで一瞬で構築する方法(mac) #ShellScript - Qiita	2023-09-11
https://qiita.com/konbraphat51/items/4602ebcfcdb6e03c16bd	【Python/Git】pycacheをgit ignoreする #初心者 - Qiita	2023-11-29
https://qiita.com/takamario/items/982ddc85a6a924516301	MacOSでのbash-completion #Bash - Qiita	2015-07-24
https://qiita.com/tkygtr6/items/fee79f710c55e3649ec0	$0と$BASH_SOURCEの違い #ShellScript - Qiita	2017-10-02
https://qiita.com/rainbartown/items/d7f59fe4047733c14e8b	どこでも動く dotfiles の作り方 #Git - Qiita	2020-12-12
https://qiita.com/YumaInaura/items/8088aae8df7ffac482b9	Github Gist を1個のレポジトリでまとめて管理する ( git submodule を利用 ) #GitHub - Qiita	2022-08-21
https://qiita.com/yutkat/items/c6c7584d9795799ee164	ようこそdotfilesの世界へ #Vim - Qiita	2021-02-23
https://stackoverflow.com/questions/525592/find-and-replace-inside-a-text-file-from-a-bash-command	Find and Replace Inside a Text File from a Bash Command - Stack Overflow	2009-02-08
https://stackoverflow.com/questions/8911724/how-to-find-out-name-of-script-called-sourced-by-another-script-in-bash	How to find out name of script called ("sourced") by another script in bash? - Stack Overflow	2012-01-18
https://this.aereal.org/entry/2013/01/02/222304	iTerm 2 で使えるカラースキーム、Japanesque を作った - Sexually Knowing	2013-01-02
https://tkancf.com/blog/understanding-bash-source	$( cd "$( dirname "${BASH_SOURCE[0]}" )" && pwd ) を理解する- tkan☕️	2023-09-20
https://web.archive.org/web/20170723143426/https://www.ayu.ics.keio.ac.jp/~mukai/translate/write_zsh_functions.html	zsh補完関数の書き方(訳)	2017-07-23
https://www.konosumi.net/entry/2025/03/09/145548	macOS Sequoiaで、LaunchPadの並びをリセットする方法 - このすみノート	2025-03-09
https://www.phileweb.com/review/column/202004/11/994.html	Macから高音質・低遅延の「aptX」でBluetooth接続したい? そんなときはこの方法 - PHILE WEB	2020--04-11
https://www.server-memo.net/shellscript/case.html	【シェルスクリプト】(条件分岐) case文 | server-memo.net	2017-07-08
https://www.webdesignleaves.com/pr/plugins/mac_terminal_basics_06.html	Mac ターミナル defaults コマンドの使い方	2024-02-26
https://www.youtube.com/watch?v=jFbwkku88oo	Mac Tutorial: Wicked Fast Keyboard Cursor Movement - YouTube	2018-06-16
